Designator,Footprint,Quantity,Value,LCSC Part #
SW51,SW_MX_HS_1u,1,1,C5156480
SW52,SW_MX_HS_1u,1,00,C5156480
SW53,SW_MX_HS_1u,1,8,C5156480
SW54,SW_MX_HS_1u,1,5,C5156480
SW55,SW_MX_HS_1u,1,2,C5156480
SW56,SW_MX_HS_1u,1,0,C5156480
SW57,SW_MX_HS_1u,1,9,C5156480
SW58,SW_MX_HS_1u,1,6,C5156480
SW59,SW_MX_HS_1u,1,3,C5156480
SW6,SW_MX_HS_1u,1,A,C5156480
SW60,SW_MX_HS_1u,1,NUM_PER,C5156480
SW61,SW_MX_HS_1u,1,MINUS,C5156480
SW62,SW_MX_HS_1u,1,PLUS,C5156480
SW63,SW_MX_HS_1u,1,ENTER,C5156480
SW64,SW_MX_HS_1u,1,PAD_LOCK,C5156480
SW65,SW_SPST_SKQG_WithStem,1,SW_Push,C115351
SW7,SW_MX_HS_1u,1,Z,C5156480
SW8,SW_MX_HS_1.25u,1,L_ALT,C5156480
SW9,SW_MX_HS_1u,1,W,C5156480
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537
U4,QFN-44_EP_5x5_Pitch0.4mm,1,AW20216SQNR,C7385556
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
